"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 02 19:39:24 GMT 2022","Wed Nov 02 19:39:42 GMT 2022","17606","","","","","","Add a Recipe to a Collection -- @1.1 ",""
"passed","Wed Nov 02 19:39:19 GMT 2022","Wed Nov 02 19:39:24 GMT 2022","4763","","","","","","Add a Collection -- @1.1 ",""
"failed","Wed Nov 02 19:39:42 GMT 2022","Wed Nov 02 19:39:55 GMT 2022","13247","","","","","","User can add a Collection with the same name as a deleted Collection -- @1.1 ",""
"passed","Wed Nov 02 19:39:55 GMT 2022","Wed Nov 02 19:40:07 GMT 2022","12485","","","","","","Login -- @1.1 ",""
"passed","Wed Nov 02 19:40:07 GMT 2022","Wed Nov 02 19:40:26 GMT 2022","18778","","","","","","Recipe adjustment -- @1.1 ",""
