"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Nov 02 20:34:50 GMT 2022","Wed Nov 02 20:35:04 GMT 2022","13125","","","","","","User can add a Collection with the same name as a deleted Collection -- @1.1 ",""
"passed","Wed Nov 02 20:35:16 GMT 2022","Wed Nov 02 20:35:36 GMT 2022","20593","","","","","","Recipe adjustment -- @1.1 ",""
"passed","Wed Nov 02 20:35:04 GMT 2022","Wed Nov 02 20:35:16 GMT 2022","11987","","","","","","Login -- @1.1 ",""
"failed","Wed Nov 02 20:34:40 GMT 2022","Wed Nov 02 20:34:50 GMT 2022","10385","","","","","","Add a Recipe to a Collection -- @1.1 ",""
"passed","Wed Nov 02 20:34:33 GMT 2022","Wed Nov 02 20:34:40 GMT 2022","7257","","","","","","Add a Collection -- @1.1 ",""
