"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 02 19:44:40 GMT 2022","Wed Nov 02 19:44:58 GMT 2022","17662","","","","","","Add a Recipe to a Collection -- @1.1 ",""
"failed","Wed Nov 02 19:44:58 GMT 2022","Wed Nov 02 19:45:12 GMT 2022","14314","","","","","","User can add a Collection with the same name as a deleted Collection -- @1.1 ",""
"passed","Wed Nov 02 19:45:12 GMT 2022","Wed Nov 02 19:45:24 GMT 2022","12423","","","","","","Login -- @1.1 ",""
"passed","Wed Nov 02 19:44:36 GMT 2022","Wed Nov 02 19:44:40 GMT 2022","4416","","","","","","Add a Collection -- @1.1 ",""
"passed","Wed Nov 02 19:45:24 GMT 2022","Wed Nov 02 19:45:43 GMT 2022","18699","","","","","","Recipe adjustment -- @1.1 ",""
