"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 02 20:32:05 GMT 2022","Wed Nov 02 20:32:14 GMT 2022","9595","","","","","","Add a Collection -- @1.1 ",""
"failed","Wed Nov 02 20:32:50 GMT 2022","Wed Nov 02 20:33:00 GMT 2022","10350","","","","","","Recipe adjustment -- @1.1 ",""
"failed","Wed Nov 02 20:32:25 GMT 2022","Wed Nov 02 20:32:38 GMT 2022","13458","","","","","","User can add a Collection with the same name as a deleted Collection -- @1.1 ",""
"failed","Wed Nov 02 20:32:14 GMT 2022","Wed Nov 02 20:32:25 GMT 2022","10397","","","","","","Add a Recipe to a Collection -- @1.1 ",""
"passed","Wed Nov 02 20:32:38 GMT 2022","Wed Nov 02 20:32:50 GMT 2022","11577","","","","","","Login -- @1.1 ",""
