"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 02 18:09:03 GMT 2022","Wed Nov 02 18:09:08 GMT 2022","5070","","","","","","Add a Collection -- @1.1 ",""
"broken","Wed Nov 02 18:09:32 GMT 2022","Wed Nov 02 18:09:42 GMT 2022","10298","","","","","","Login -- @1.1 ",""
"failed","Wed Nov 02 18:09:08 GMT 2022","Wed Nov 02 18:09:18 GMT 2022","10312","","","","","","Add a Recipe to a Collection -- @1.1 ",""
"failed","Wed Nov 02 18:09:18 GMT 2022","Wed Nov 02 18:09:32 GMT 2022","13110","","","","","","User can add a Collection with the same name as a deleted Collection -- @1.1 ",""
