"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 02 20:30:44 GMT 2022","Wed Nov 02 20:31:01 GMT 2022","17384","","","","","","Add a Recipe to a Collection -- @1.1 ",""
"passed","Wed Nov 02 20:31:14 GMT 2022","Wed Nov 02 20:31:27 GMT 2022","12530","","","","","","Login -- @1.1 ",""
"passed","Wed Nov 02 20:30:36 GMT 2022","Wed Nov 02 20:30:44 GMT 2022","7639","","","","","","Add a Collection -- @1.1 ",""
"failed","Wed Nov 02 20:31:01 GMT 2022","Wed Nov 02 20:31:14 GMT 2022","12753","","","","","","User can add a Collection with the same name as a deleted Collection -- @1.1 ",""
"passed","Wed Nov 02 20:31:27 GMT 2022","Wed Nov 02 20:31:48 GMT 2022","21241","","","","","","Recipe adjustment -- @1.1 ",""
