"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 02 20:35:26 GMT 2022","Wed Nov 02 20:35:44 GMT 2022","18217","","","","","","Add a Recipe to a Collection -- @1.1 ",""
"passed","Wed Nov 02 20:35:19 GMT 2022","Wed Nov 02 20:35:26 GMT 2022","6711","","","","","","Add a Collection -- @1.1 ",""
"failed","Wed Nov 02 20:35:44 GMT 2022","Wed Nov 02 20:35:57 GMT 2022","13192","","","","","","User can add a Collection with the same name as a deleted Collection -- @1.1 ",""
"broken","Wed Nov 02 20:35:57 GMT 2022","Wed Nov 02 20:36:07 GMT 2022","10370","","","","","","Login -- @1.1 ",""
"failed","Wed Nov 02 20:36:07 GMT 2022","Wed Nov 02 20:36:18 GMT 2022","10366","","","","","","Recipe adjustment -- @1.1 ",""
