"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 02 20:20:45 GMT 2022","Wed Nov 02 20:21:03 GMT 2022","17827","","","","","","Add a Recipe to a Collection -- @1.1 ",""
"passed","Wed Nov 02 20:20:40 GMT 2022","Wed Nov 02 20:20:45 GMT 2022","5520","","","","","","Add a Collection -- @1.1 ",""
"passed","Wed Nov 02 20:21:29 GMT 2022","Wed Nov 02 20:21:50 GMT 2022","20845","","","","","","Recipe adjustment -- @1.1 ",""
"failed","Wed Nov 02 20:21:03 GMT 2022","Wed Nov 02 20:21:17 GMT 2022","13778","","","","","","User can add a Collection with the same name as a deleted Collection -- @1.1 ",""
"passed","Wed Nov 02 20:21:17 GMT 2022","Wed Nov 02 20:21:29 GMT 2022","12476","","","","","","Login -- @1.1 ",""
