"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Nov 02 18:12:38 GMT 2022","Wed Nov 02 18:12:51 GMT 2022","13805","","","","","","Add a Collection -- @1.1 ",""
"passed","Wed Nov 02 18:13:22 GMT 2022","Wed Nov 02 18:13:35 GMT 2022","12984","","","","","","Login -- @1.1 ",""
"passed","Wed Nov 02 18:12:51 GMT 2022","Wed Nov 02 18:13:09 GMT 2022","17624","","","","","","Add a Recipe to a Collection -- @1.1 ",""
"failed","Wed Nov 02 18:13:09 GMT 2022","Wed Nov 02 18:13:22 GMT 2022","13243","","","","","","User can add a Collection with the same name as a deleted Collection -- @1.1 ",""
