"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 02 20:26:22 GMT 2022","Wed Nov 02 20:26:39 GMT 2022","17354","","","","","","Add a Recipe to a Collection -- @1.1 ",""
"failed","Wed Nov 02 20:26:39 GMT 2022","Wed Nov 02 20:26:52 GMT 2022","13011","","","","","","User can add a Collection with the same name as a deleted Collection -- @1.1 ",""
"passed","Wed Nov 02 20:27:04 GMT 2022","Wed Nov 02 20:27:25 GMT 2022","20443","","","","","","Recipe adjustment -- @1.1 ",""
"passed","Wed Nov 02 20:26:11 GMT 2022","Wed Nov 02 20:26:22 GMT 2022","10475","","","","","","Add a Collection -- @1.1 ",""
"passed","Wed Nov 02 20:26:52 GMT 2022","Wed Nov 02 20:27:04 GMT 2022","12113","","","","","","Login -- @1.1 ",""
