"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 02 18:36:31 GMT 2022","Wed Nov 02 18:36:35 GMT 2022","3886","","","","","","Add a Collection -- @1.1 ",""
"passed","Wed Nov 02 18:36:35 GMT 2022","Wed Nov 02 18:36:52 GMT 2022","16586","","","","","","Add a Recipe to a Collection -- @1.1 ",""
"passed","Wed Nov 02 18:37:02 GMT 2022","Wed Nov 02 18:37:14 GMT 2022","12047","","","","","","Login -- @1.1 ",""
"failed","Wed Nov 02 18:36:52 GMT 2022","Wed Nov 02 18:37:02 GMT 2022","10383","","","","","","User can add a Collection with the same name as a deleted Collection -- @1.1 ",""
