"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 02 18:38:41 GMT 2022","Wed Nov 02 18:38:45 GMT 2022","3809","","","","","","Add a Collection -- @1.1 ",""
"failed","Wed Nov 02 18:38:45 GMT 2022","Wed Nov 02 18:38:55 GMT 2022","10328","","","","","","Add a Recipe to a Collection -- @1.1 ",""
"failed","Wed Nov 02 18:38:55 GMT 2022","Wed Nov 02 18:39:08 GMT 2022","12632","","","","","","User can add a Collection with the same name as a deleted Collection -- @1.1 ",""
"passed","Wed Nov 02 18:39:08 GMT 2022","Wed Nov 02 18:39:19 GMT 2022","11294","","","","","","Login -- @1.1 ",""
